通道,功能,DMX 值,功能说明
通道一（CH1）,无,无,无
通道二（CH2）,无,无,无
通道三（CH3）,点火开关,0~253,不喷火
,,254~255,启动喷火。这个通道上的 DMX 值高于 253 时，喷火机就会点火。
通道四（CH4）,点火时间设置,0,永久喷火
,,1~254,10~2540ms（手动点火时间 = DMX 值 *10ms）
,,255,永久喷火
通道五（CH5）,无,无,无
通道六（CH6）,模式设置,0~49,泄压模式（可急停序列）
,,50~200,正常喷火模式
,,201~255,泄压模式（可急停序列）
